"year","carrier_name","arrival","delay","cancelled","diverted","arrival_delay","carrier_delay","wthr_delay","ns_delay","sec_delay","lt_air_delay","on_time"
2008,"ExpressJet Airlines Inc.",87749,22599,2438,331,1470485,0.19139331581077,0.0414659109069457,0.452728861566082,0.00197417858733683,0.312437733128866,0.775736626678572
2008,"SkyWest Airlines Inc.",135237,23139,2277,327,1252207,0.296787192532864,0.0517478340242468,0.226458564758063,0.0023686179681155,0.422637790716711,0.840085724934775
2009,"American Airlines Inc.",94136,20044,1549,325,1173036,0.335527639390436,0.0671974261659489,0.29044632901292,0.000590774707681606,0.306237830723013,0.811139641890844
2009,"American Eagle Airlines Inc.",73869,15520,1927,180,839688,0.290172063909452,0.0813230628519164,0.261268471146426,0.000146482979392346,0.367089919112813,0.807346769257672
2009,"Delta Air Lines Inc.",82958,16757,1305,156,850594,0.245803520833676,0.037609012055105,0.421173909056495,0.000176347352555979,0.295237210702168,0.819937534593184
2009,"ExpressJet Airlines Inc.",71968,13261,1252,292,755839,0.215954720515877,0.0748228127947883,0.35505048032716,0.00170803570601676,0.352463950656158,0.829382411579639
2009,"SkyWest Airlines Inc.",121250,18548,1634,278,968130,0.212319626496442,0.0289620195634884,0.257634821769804,0.00182103643105781,0.499262495739209,0.855620633688519
2010,"American Airlines Inc.",107674,20134,2227,352,1117055,0.355655719727319,0.0664166043748965,0.26413560657264,0.000833441504670764,0.312958627820474,0.825803185900435
2010,"American Eagle Airlines Inc.",84177,17406,2619,234,948254,0.302406317294733,0.0748501983645732,0.235172221788677,0.00102187810438975,0.386549384447627,0.80601516718373
2010,"Delta Air Lines Inc.",132781,27987,2732,347,1559053,0.337363130053949,0.0442922722960669,0.301556778377643,0.000452838999059044,0.316334980273281,0.810396284338438
2010,"ExpressJet Airlines Inc.",88272,17642,2390,242,1040960,0.222546495542576,0.0394606901321857,0.324216108207808,0.00257646787580695,0.411200238241623,0.813222044110331
2010,"SkyWest Airlines Inc.",115417,20041,2165,297,1059704,0.255361874636691,0.028642904056227,0.200686229362162,0.00115598318020881,0.514153008764712,0.836840197215777
2011,"American Airlines Inc.",115483,22107,3599,611,1281794,0.337440337526935,0.0684915048751984,0.274053397035717,0.000155251155801946,0.319859509406348,0.814407616361072
2011,"American Eagle Airlines Inc.",90564,17915,3877,256,1043511,0.294287266737006,0.0877087064726677,0.293280090003843,7.57059580588992e-05,0.324648230828424,0.80421269491706
